Title;Issn;SJR
Comparative Strategy;01495933, 15210448;179
Conference Proceedings - IEEE SOUTHEASTCON;7347502;179
European Journal of Migration and Law;1388364X, 15718166;179
Fudan Journal of the Humanities and Social Sciences;16740750, 21982600;179
Guangxue Jishu/Optical Technique;10021582;179
ICINCO 2016 - 13th International Conference on Informatics in Control, Automation and Robotics, Doctoral Consortium;-;179
Interdisciplinaria Archaeologica;1804848X, 23361220;179
International Conference on Intelligent User Interfaces, Proceedings IUI;-;179
International Journal of Communication Networks and Distributed Systems;17543916, 17543924;179
International Journal of Information System Modeling and Design;19478186, 19478194;179
International Journal of Internet Technology and Secured Transactions;17485703, 1748569X;179
International Journal of Navigation and Observation;16876008, 16875990;179
International Journal of Tourism Policy;17504090, 17504104;179
International Symposium on Wireless Personal Multimedia Communications, WPMC;13476890;179
Investigacion Economica;1851667;179
Investment Management and Financial Innovations;18104967, 18129358;179
Irish Medical Journal;3323102;179
Japanese Journal of Conservation Ecology;13424327;179
JOT, Journal fuer Oberflaechentechnik;9408789;179
Journal of Business and Retail Management Research;17518202;179
Journal of Engineering Technology;7479964;179
Journal of Excipients and Food Chemicals;21502668;179
Journal of Modern History;15375358, 00222801;179
Journal of Modern Project Management;23173963;179
Journal of Orthopaedic and Sports Physical Therapy;19381344, 01906011;179
Journal of Property, Planning and Environmental Law;25149407;179
Journal of the Brazilian Computer Society;01046500, 16784804;179
Main Group Metal Chemistry;21910219, 07921241;179
Malaysian Journal of Nutrition;1394035X;179
Mind and Society;15937879;179
Natur und Landschaft;280615;179
Nursing leadership (Toronto, Ont.);1910622X;179
Online Journal of Analytic Combinatorics;19313365;179
Oxford Medical Case Reports;20538855;179
Panamerican Mathematical Journal;10649735;179
Proceedings of the 2016 5th ICT International Student Project Conference, ICT-ISPC 2016;-;179
Przeglad Geograficzny;332143;179
Psihologia Resurselor Umane;23928077, 15837327;179
Quaderns de l'Institut Catala d'Antropologia;16968298, 02115557;179
Qwerty;18287344, 22402950;179
Razavi International Journal of Medicine;23456434, 23456426;179
Rivista Italiana delle Sostanze Grasse;356808;179
Scandinavian Psychologist;18945570;179
Signa Vitae;13345605, 1845206X;179
SKIMA 2015 - 9th International Conference on Software, Knowledge, Information Management and Applications;-;179
Thai Journal of Mathematics;16860209;179
Theoretical and Experimental Chemistry;1573935X, 00405760;179
USYS 2016 - 2016 IEEE 6th International Conference on Underwater System Technology: Theory and Applications;-;179
"Women &amp; Performance";17485819, 0740770X;179
Zhonghua wei zhong bing ji jiu yi xue;20954352;179
2015 21st Asia-Pacific Conference on Communications, APCC 2015;-;178
2016 13th International Joint Conference on Computer Science and Software Engineering, JCSSE 2016;-;178
2016 IEEE International Conference on Communication, Network, and Satellite, COMNETSAT 2016 - Proceedings;-;178
2016 International Conference on Energy Efficient Technologies for Sustainability, ICEETS 2016;-;178
5th IFIP International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks, PEMWN 2016;-;178
Acta Bioethica;1726569X, 07175906;178
Acta Chirurgiae Plasticae;00015423, 18054404;178
Acta Endocrinologica;1843066X, 18410987;178
American Bankruptcy Law Journal;279048;178
Annales de Dermatologie et de Venereologie;1519638;178
Annals of Library and Information Studies;09725423, 09752404;178
Anuario do Instituto de Geociencias;19823908, 01019759;178
ArcheoSciences;19601360, 21043728;178
Enfermeria Clinica;11308621, 15792013;178
Ethics in Science and Environmental Politics;16118014;178
Etnografia e Ricerca Qualitativa;19733194;178
European Journal for Research on the Education and Learning of Adults;20007426;178
Fangzhi Xuebao/Journal of Textile Research;2539721;178
Galvanotechnik;164232;178
Geomorfologiya;4354281;178
Giornale Italiano di Psicologia;3905349;178
History of Economic Ideas;11228792, 17242169;178
Holocaust Studies;17504902, 20484887;178
Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae;2532468;178
Indian Journal of Chemistry - Section A Inorganic, Physical, Theoretical and Analytical Chemistry;09750975, 03764710;178
Informatica (Slovenia);18543871, 03505596;178
International Conference on Advanced Mechatronic Systems, ICAMechS;23250682;178
International Journal of Environmental Sustainability;23251077, 23251085;178
International Journal of Evidence Based Coaching and Mentoring;17418305;178
International Journal of Special Education;8273383;178
Journal of Geometry and Symmetry in Physics;13145673, 13125192;178
Journal of Greek Linguistics;15665844;178
Journal of Indian Association for Child and Adolescent Mental Health;9731342;178
Journal of Pharmacy and Pharmacognosy Research;7194250;178
Journal of Textile Engineering;13468235;178
Journal of the American College of Clinical Wound Specialists;22135103;178
Journal of The Institution of Engineers (India): Series A;22502157, 22502149;178
Measurement Techniques;05431972, 15738906;178
Medicina;16699106, 00257680;178
Nihon Enerugi Gakkaishi/Journal of the Japan Institute of Energy;9168753;178
Onward! 2016 - Proceedings of the 2016 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software;-;178
Osterreichische Zeitschrift fur Soziologie;10110070;178
Perspectivas em Ciencia da Informacao;19815344, 14139936;178
Pharmaceutical Chemistry Journal;15739031, 0091150X;178
Prensa Medica Argentina;0032745X;178
Proceedings - 2016 2nd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2016;-;178
Proceedings - 2016 International Conference on Engineering and Telecommunication, EnT 2016;-;178
Proceedings of 2016 Prognostics and System Health Management Conference, PHM-Chengdu 2016;-;178
Proceedings of Technical Papers - International Microsystems, Packaging, Assembly, and Circuits Technology Conference, IMPACT;21505934;178
Proceedings of the 2015 IEEE 8th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS 2015;-;178
Proceedings of the Royal Irish Academy, Section C: Archaeology, Celtic Studies, History, Linguistics and Literature;20090048, 00358991;178
Research in the History of Economic Thought and Methodology;7434154;178
Revista Mexicana de Psicologia;1856073;178
Rorschachiana;2151206X, 11925604;178
Shiraz E Medical Journal;17351391;178
South-East European Forestry;18476481, 18490891;178
Studies in Law Politics and Society;10594337;178
TAAI 2015 - 2015 Conference on Technologies and Applications of Artificial Intelligence;-;178
Webology;1735188X;178
2016 1st International Conference on Innovation and Challenges in Cyber Security, ICICCS 2016;-;177
2016 DGON Inertial Sensors and Systems, ISS 2016 - Proceedings;-;177
2016 IEEE International Conference on Signal and Image Processing, ICSIP 2016;-;177
2016 Loughborough Antennas and Propagation Conference, LAPC 2016;-;177
Academy of Accounting and Financial Studies Journal;15282635, 10963685;177
Acta Phytopathologica et Entomologica Hungarica;02381249, 15882691;177
Advances in Decision Sciences;20903367, 20903359;177
Advances in Gerontology;20790570, 20790589;177
Anthropological Linguistics;35483;177
ASME 2016 10th International Conference on Energy Sustainability, ES 2016, collocated with the ASME 2016 Power Conference and the ASME 2016 14th International Conference on Fuel Cell Science, Engineering and Technology;-;177
Bulletin of the School of Oriental and African Studies;0041977X, 14740699;177
Business Systems Research;18479375;177
CEUR Workshop Proceedings;16130073;177
Clay Research;02557193, 09744509;177
Experientia supplementum (2012);1664431X;177
Fibre chemistry;00150541, 15738493;177
Indian Journal of Leprosy;2549395;177
International Cardiovascular Research Journal;22519149, 22519130;177
International Conference on Control, Automation and Systems;15987833;177
International Conference on Electrical Power and Energy Systems, ICEPES 2016;-;177
International Journal of Development Issues;14468956, 17588553;177
International Journal of Information and Communication Technology;14666642, 17418070;177
Journal Europeen des Systemes Automatises;12696935;177
Journal of African History;14695138, 00218537;177
Journal of Communications Software and Systems;18456421;177
Journal of the Early Republic;2751275;177
Journal of the Polynesian Society;324000;177
Korean Journal of Neurotrauma;22348999, 22882243;177
Malaysian Journal of Mathematical Sciences;18238343;177
Middle East Journal of Cancer;20086709, 20086687;177
Multimedia manual of cardiothoracic surgery : MMCTS / European Association for Cardio-Thoracic Surgery;18139175;177
Optoelectronics, Instrumentation and Data Processing;87566990, 19347944;177
Organic Communications;13076175;177
Parallel Processing Letters;1793642X, 01296264;177
Proceedings - 13th Latin American Robotics Symposium and 4th Brazilian Symposium on Robotics, LARS/SBR 2016;-;177
Proceedings - 2016 17th International Workshop on Microprocessor and SOC Test and Verification, MTV 2016;-;177
Proceedings - 2016 1st International Conference on Multimedia and Image Processing, ICMIP 2016;-;177
Proceedings - 2016 IEEE International Conference on Functional-Structural Plant Growth Modeling, Simulation, Visualization and Applications, FSPMA 2016;-;177
Proceedings of the 2015 7th International Conference of Soft Computing and Pattern Recognition, SoCPaR 2015;-;177
Research Journal of Phytochemistry;18193471, 21516081;177
Rhode Island medical journal (2013);23272228;177
Siberian Historical Research;23124628, 2312461X;177
Smith College Studies in Social Work;15530426, 00377317;177
Society of Petroleum Engineers - SPE Kingdom of Saudi Arabia Annual Technical Symposium and Exhibition;-;177
Studii de Preistorie;20652534, 20652526;177
Sub-Stance;492426;177
Topics in Clinical Nutrition;8835691;177
Transactions of the Korean Society of Mechanical Engineers, B;12264881;177
Transactions of Tianjin University;10064982, 19958196;177
Transactions on Combinatorics;22518657, 22518665;177
UPB Scientific Bulletin, Series B: Chemistry and Materials Science;14542331;177
Urological Science;18795226, 18795234;177
Varia Historia;01048775, 19824343;177
2016 3rd International Conference on Electronic Design, ICED 2016;-;176
2016 5th International Conference on Informatics, Electronics and Vision, ICIEV 2016;-;176
2016 Electronics Goes Green 2016+, EGG 2016;-;176
2016 International Conference on Recent Trends in Information Technology, ICRTIT 2016;-;176
8th AIAA Atmospheric and Space Environments Conference;-;176
ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc, The;10467041;176
Analise Psicologica;8708231;176
Annals of Applied Sport Science;24764981, 23224479;176
Archives of Razi Institute;20089872, 03653439;176
Australian Field Ornithology;14480107;176
China Nonprofit Review;18765149, 18765092;176
Creative nursing;10784535;176
Deutsche Medizinische Wochenschrift;00120472, 14394413;176
Electrolyte and Blood Pressure;17385997;176
Energy Geotechnics - Proceedings of the 1st International Conference on Energy Geotechnics, ICEGT 2016;-;176
Family Matters;10302646;176
Food Research;25502166;176
Gadjah Mada International Journal of Business;14111128, 23387238;176
Health law in Canada;2268841;176
High Temperature Material Processes;10933611, 19404360;176
Historia del Presente;15798135;176
IEEE 3rd International Symposium on Inertial Sensors and Systems, ISS 2016 - Proceedings;-;176
Inteligencia Artificial;11373601;176
International Journal of Environmental Technology and Management;1741511X, 14662132;176
Iranian Journal of Ageing;1735806X;176
Journal of Arthroscopy and Joint Surgery;22149635;176
Journal of Biomimetics, Biomaterials and Biomedical Engineering;22969837, 22969845;176
Journal of Chinese Cinemas;1750807X, 17508061;176
Journal of Chinese Human Resource Management;20408013, 20408005;176
Journal of Interdisciplinary Economics;2601079;176
Journal of Nursing;0047262X;176
Journal of Persianate Studies;18747094, 18747167;176
Journal of Portuguese Linguistics;23975563;176
Journal of Religion in Africa;224200;176
Journal of Sociology and Social Welfare;1915096;176
Journal of Uncertain Systems;17528917, 17528909;176
Lebende Sprachen;239909;176
Management Revue;18619908, 09359915;176
Medicina Paliativa;1134248X;176
Modern History of Russia;23097973, 22199659;176
New Zealand Economic Papers;00779954, 19434863;176
Orvosi Hetilap;00306002, 17886120;176
Pacific Rim International Journal of Nursing Research;19068107, 25868373;176
Proceedings - 2015 IEEE International Conference on Knowledge and Systems Engineering, KSE 2015;-;176
Proceedings - 7th Latin-American Symposium on Dependable Computing, LADC 2016;-;176
Proceedings of International Conference of the Learning Sciences, ICLS;18149316;176
Proceedings of the IEEE International Conference on VLSI Design;10639667;176
PsychNology Journal;17207525;176
Review of Marketing Research;15486435, 19447035;176
Revue Internationale de Criminologie et de Police Technique et Scientifique;14244683;176
SA 2016 - SIGGRAPH ASIA 2016 Mobile Graphics and Interactive Applications;-;176
Society of Petroleum Engineers - IADC/SPE Asia Pacific Drilling Technology Conference;-;176
Southern African Journal of Anaesthesia and Analgesia;22201181;176
Studia Paedagogica;18037437, 23364521;176
Synthesis Lectures on Computer Architecture;19353235, 19353243;176
Tidsskrift for den Norske Laegeforening;00292001, 08077096;176
Transactions of the Charles S Peirce Society;91774;176
Trends in Sport Sciences;2391436X, 22999590;176
Ukrainian Biochemical Journal;24094943, 24135003;176
VEHITS 2016 - 2nd International Conference on Vehicle Technology and Intelligent Transport Systems, Proceedings;-;176
2016 IEEE International Conference on Consumer Electronics-Asia, ICCE-Asia 2016;-;175
2017 International Symposium on VLSI Design, Automation and Test, VLSI-DAT 2017;-;175
4th International Conference on Upstream Engineering and Flow Assurance 2016 - Topical Conference at the 2016 AIChE Spring Meeting and 12th Global Congress on Process Safety;-;175
5th International Workshop on Requirements Patterns, RePa 2015 - Proceedings;-;175
American Concrete Institute, ACI Special Publication;1932527;175
American Helicopter Society International - AHS Specialists' Conference on Aeromechanics Design for Vertical Lift 2016;-;175
Archives des Maladies Professionnelles et de l'Environnement;17758785;175
Archives des Sciences;1661464X;175
ARM 2016 - 15th Workshop on Adaptive and Reflective Middleware, colocated with ACM/IFIP/USENIX Middleware 2016;-;175
Asian Social Work and Policy Review;17531403, 17531411;175
Austrian Journal of Forest Science;3795292;175
Bulletin of the Mineral Research and Exploration;264563;175
Chinese Journal of Medical Genetics;10039406;175
Computational Vision and Medical Image Processing V - Proceedings of 5th Eccomas Thematic Conference on Computational Vision and Medical Image Processing, VipIMAGE 2015;-;175
Conservar Patrimonio;1646043X, 21829942;175
Copenhagen Journal of Asian Studies;13954199;175
Credit and Capital Markets;21991227, 21991235;175
Digital Creativity;17443806, 14626268;175
ECCOMAS Congress 2016 - Proceedings of the 7th European Congress on Computational Methods in Applied Sciences and Engineering;-;175
European Business Law Review;1875841X, 09596941;175
ForMABS 2016 - Proceedings of the International Workshop on Formal Methods for Analysis of Business Systems, co-located with ASE 2016;-;175
GPS World;10485104;175
Health matrix (Cleveland, Ohio : 1991);0748383X;175
History of European Ideas;01916599, 1873541X;175
Housing, Care and Support;14608790;175
Innovations;12674982;175
International Conference on Communication and Signal Processing, ICCSP 2016;-;175
International Journal of Agricultural Research;18164897;175
International Journal of Applied Engineering Research;09739769, 09734562;175
International Journal of Electronic Marketing and Retailing;17411025, 17411033;175
International Journal of Stochastic Analysis;20903340, 20903332;175
International Journal of Technology, Policy and Management;17415292, 14684322;175
Internet-QoE 2016 - Proceedings of the 2016 ACM SIGCOMM Workshop on QoE-Based Analysis and Management of Data Communication Networks, Part of SIGCOMM 2016;-;175
IOP Conference Series: Earth and Environmental Science;17551315, 17551307;175
Iranica Antiqua;00210870, 17831482;175
Jiegou Huaxue;2545861;175
Journal of Crop Protection;2251905X, 22519041;175
Journal of Hospitality Financial Management;21522790, 10913211;175
Journal of the Institute of Conservation;19455232, 19455224;175
Lingue e Linguaggio;17209331;175
MMCommons 2016 - Proceedings of the 2016 ACM Workshop on the Multimedia COMMONS, co-located with ACM Multimedia 2016;-;175
Neurohospitalist, The;19418744, 19418752;175
Operative Techniques in Orthopaedics;10486666, 15583848;175
Optoelectronics and Advanced Materials, Rapid Communications;18426573, 20653824;175
Periodica polytechnica Electrical engineering and computer science;20645279, 20645260;175
Petroleum and Coal;13377027;175
Proceedings - 2015 6th International Conference on Emerging Security Technologies, EST 2015;-;175
Proceedings - 2016 1st International Workshop on Decision Making in Software ARCHitecture, MARCH 2016;-;175
Proceedings of the 1st Southern African Geotechnical Conference, 2016;-;175
Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials;-;175
Professioni infermieristiche;330205;175
Review of Regional Studies;0048749X, 15530892;175
Revista de Psicologia (Peru);02549247, 22233733;175
SafeConfig 2016 - Proceedings of the 2016 ACM Workshop on Automated Decision Making for Active Cyber Defense, co-located with CCS 2016;-;175
Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University;10062467;175
Soudni Lekarstvi;3711854;175
SPE/AAPG Western Regional Meetings;-;175
State Crime Journal;20466056;175
Strategies;21683778, 08924562;175
STUF - Sprachtypologie und Universalienforschung;9422919;175
VISIGRAPP 2016 - Proceedings of the 11th Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications - Doctoral Consortium;-;175
Zeitschrift fur Padagogik (Beiheft);5142717;175
2016 12th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery, ICNC-FSKD 2016;-;174
2016 3rd International Conference on Electrical, Electronics, Computer Engineering and their Applications, EECEA 2016;-;174
2016 4th Saudi International Conference on Information Technology (Big Data Analysis), KACSTIT 2016;-;174
2016 Global Information Infrastructure and Networking Symposium, GIIS 2016;-;174
3rd International Conference on Signal Processing and Integrated Networks, SPIN 2016;-;174
54th AIAA Aerospace Sciences Meeting;-;174
AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali;03650359, 18251242;174
Acta Archaeologica Academiae Scientiarum Hungaricae;15882551, 00015210;174
Acta Veterinaria Brasilica;19815484;174
Adjunct Proceedings of the 2016 IEEE International Symposium on Mixed and Augmented Reality, ISMAR-Adjunct 2016;-;174
Agricultural Economics Review;11092580;174
Ankara Universitesi Veteriner Fakultesi Dergisi;13000861;174
Arxius de Miscellania Zoologica;16980476;174
Astrophysics and Space Science Proceedings;15706605;174
Australian Educational Computing;8169020;174
Australian Journal of Maritime and Ocean Affairs;23336498, 18366503;174
BAR - Brazilian Administration Review;18077692;174
BioWireleSS 2016 - Proceedings, 2016 IEEE Topical Conference on Biomedical Wireless Technologies, Networks, and Sensing Systems;-;174
Contaduria y Administracion;1861042;174
Cuadernos de Turismo;19894635, 11397861;174
Current Women's Health Reviews;15734048;174
Epidemiologie, Mikrobiologie, Imunologie;12107913;174
Eurasian Journal of Applied Linguistics;21491135;174
European Spatial Research and Policy;12311952, 18961525;174
Fortschritte der Neurologie Psychiatrie;14393522, 07204299;174
Global Environment;19733739, 20537352;174
Higher Education Forum;24329614;174
Horizon, Fenomenologiceskie Issledovania;23116986, 22265260;174
Idesia;00734675, 07183429;174
IEEE International Symposium on Intelligent Control - Proceedings;-;174
Indonesian Journal of Islam and Muslim Societies;2406825X, 20891490;174
Interdisciplinary Neurosurgery: Advanced Techniques and Case Management;22147519;174
International Journal of Asian Business and Information Management;19479638, 19479646;174
International Journal of e-Collaboration;15483681, 15483673;174
International Journal of Management and Enterprise Development;17418127, 14684330;174
International Journal of Multicriteria Decision Making;20401078, 2040106X;174
International Journal of Nanoparticles;17532515, 17532507;174
Jingangshi yu Moliao Moju Gongcheng/Diamond and Abrasives Engineering;1006852X;174
Journal of African American Studies;15591646;174
Journal of Applied Security Research;19361629, 19361610;174
Journal of Applied Spectroscopy;00219037, 15738647;174
Journal of Derivatives;10741240;174
Journal of Hematopathology;18655785;174
Journal of Nationalism Memory and Language Politics;25705857;174
Journal of Technical Education and Training;22298932;174
Journal of the Mexican Chemical Society;1870249X, 16659686;174
Kentucky nurse;7428367;174
Magyar Nyelv;15881210, 00250228;174
Metropolitan Museum of Art Bulletin;261521;174
Migraciones;11385774;174
Nan fang yi ke da xue xue bao = Journal of Southern Medical University;16734254;174
Perspectives on Global Development and Technology;15691497, 15691500;174
Proceeding - 2016 International Conference on Sustainable Energy Engineering and Application: Sustainable Energy for a Better Life, ICSEEA 2016;-;174
Proceeding of 2015 10th International Design and Test Symposium, IDT 2015;-;174
Proceedings - 2015 12th Web Information System and Application Conference, WISA 2015;-;174
Proceedings - 2016 12th International ACM SIGSOFT Conference on Quality of Software Architectures, QoSA 2016;-;174
Proceedings - 2016 4th International Workshop on Biometrics and Forensics, IWBF 2016;-;174
Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016;-;174
Proceedings of 2016 International Conference on Networking Systems and Security, NSysS 2016;-;174
Proceedings of the 2016 12th International Conference on the Design of Reliable Communication Networks, DRCN 2016;-;174
Proceedings of the 2016 IEEE International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2016;-;174
Revista de Musicologia;15785297;174
SAS 2016 - Sensors Applications Symposium, Proceedings;-;174
Scientia Geologica Sinica;5635020;174
Taiwan Journal of Public Health;10232141;174
Top Fuel 2016: LWR Fuels with Enhanced Safety and Performance;-;174
Voprosy Istorii;428779;174
Voprosy Onomastiki;19942400, 19942451;174
WUWNet 2016 - 11th ACM International Conference on Underwater Networks and Systems;-;174
Zeitschrift fur Germanistische Linguistik;3013294;174
10th Annual International Systems Conference, SysCon 2016 - Proceedings;-;173
1st IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems, ICPEICES 2016;-;173
2015 22nd Iranian Conference on Biomedical Engineering, ICBME 2015;-;173
2015 International Conference on ReConFigurable Computing and FPGAs, ReConFig 2015;-;173
2016 IEEE Asia Pacific Conference on Circuits and Systems, APCCAS 2016;-;173
2016 International Conference on Information Communication and Embedded Systems, ICICES 2016;-;173
2016 International Conference on Signal and Information Processing, IConSIP 2016;-;173
25th AIAA/AHS Adaptive Structures Conference, 2017;-;173
7th IEEE Annual Information Technology, Electronics and Mobile Communication Conference, IEEE IEMCON 2016;-;173
Acta Agriculturae Slovenica;18541941, 15819175;173
Acta Physica Polonica B, Proceedings Supplement;18992358;173
African Studies;00020184, 14692872;173
Annales de Pathologie;2426498;173
Annals of Maxillofacial Surgery;22310746, 22493816;173
Aquaculture Science;03714217, 21850194;173
ASME 2016 Internal Combustion Engine Fall Technical Conference, ICEF 2016;-;173
Choreographic Practices;20405669, 20405677;173
Dental update;3055000;173
Fenmo Yejin Jishu/Powder Metallurgy Technology;10013784;173
Fizika Nizkikh Temperatur;01326414, 18160328;173
Folia Linguistica Historica;0168647X;173
Geofisica International;167169;173
Geologie de la France;2460874;173
ICDRET 2016 - 4th International Conference on the Developments in Renewable Energy Technology;-;173
International Journal of Advances in Soft Computing and its Applications;20748523;173
International Journal of Biometrics;1755831X, 17558301;173
International Journal of Ecology and Development;09729984, 09737308;173
International Journal of Electronic Governance;17427517, 17427509;173
International Journal of Human Capital and Information Technology Professionals;19473486, 19473478;173
International Journal of System of Systems Engineering;1748068X, 17480671;173
Interpersona;19816472;173
Issues and Studies;10132511;173
ITE Journal (Institute of Transportation Engineers);1628178;173
Journal of Advanced Manufacturing Technology;19853157, 22898107;173
Journal of Dentistry for Children;15518949, 19355068;173
Journal of Electrical and Electronics Engineering;18446035, 20672128;173
Journal of International and Comparative Law;23133775;173
Journal of Pakistan Association of Dermatologists;15609014;173
Journal of the Korean Chemical Society;10172548;173
MedEdPORTAL : the journal of teaching and learning resources;23748265;173
Mediterranean Journal of Chemistry;20283997;173
Monografias de Traduccion e Interpretacion;18894178, 19899335;173
Nanoscience and Nanotechnology Letters;19414900, 19414919;173
Perspectives in Education;2582236;173
Physiology and Pharmacology;17350581;173
Proceedings of IEEE Sensors;19300395;173
Proceedings of ISMA 2016 - International Conference on Noise and Vibration Engineering and USD2016 - International Conference on Uncertainty in Structural Dynamics;-;173
Proceedings of the 2017 International Technical Meeting of The Institute of Navigation, ITM 2017;-;173
Proceedings of the 8th International Workshop on Programming Models and Applications for Multicores and Manycores, PMAM 2017;-;173
Production Management and Engineering Sciences - Scientific Publication of the International Conference on Engineering Science and Production Management, ESPM 2015;-;173
South African Journal of Surgery;382361;173
Trames;14060922;173
Turkish Journal of Physics;13036122, 13000101;173
Urbani Izziv;18558399, 03536483;173
Vestnik Pravoslavnogo Sviato-Tikhonovskogo Gumanitarnogo Universiteta, Seria I. Bogoslovie, Filosofia, Religiovedenie;24094692, 1991640X;173
Zpravy Lesnickeho Vyzkumu;18059872, 03229688;173
2016 IEEE Middle East Conference on Antennas and Propagation, MECAP 2016;-;172
2016 International Conference on Control, Automation and Information Sciences, ICCAIS 2016;-;172
Ab Imperio;21649731, 21664072;172
Annales: Economies, Societies, Civilsations;3952649;172
Belgian Journal of Linguistics;7745141;172
Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la medecine rurale : le journal officiel de la Societe de medecine rurale du Canada;12037796;172
China Quarterly of International Strategic Studies;23777419;172
Clinical and Experimental Obstetrics and Gynecology;3906663;172
Contemporary Buddhism;14639947;172
Creativity Studies;23450487, 23450479;172
EC Tax Review;09282750, 18758363;172
Engineering and Applied Science Research;25396218, 25396161;172
EUREKA, Physics and Engineering;24614254, 24614262;172
Gaceta Medica de Mexico;163813;172
Gerontechnology;1569111X, 15691101;172
Gums and Stabilisers for the Food Industry 18 - Hydrocolloid Functionality for Affordable and Sustainable Global Food Solutions;-;172
History of Education;14645130, 0046760X;172
Hong Kong Journal of Emergency Medicine;10249079;172
International Journal of Advances in Intelligent Informatics;25483161, 24426571;172
International Journal of Unconventional Computing;15487199, 15487202;172
International Organizations Law Review;15723739, 15723747;172
International Review of Public Administration;23317795, 12294659;172
Iranian Journal of Epidemiology;17357489;172
Journal of Automata, Languages and Combinatorics;25673785, 1430189X;172
Journal of Indian Council of Philosophical Research;23639962, 09707794;172
Journal of Research Practice;1712851X;172
Journal of Shanghai Jiaotong University (Science);10071172;172
Journal of the Hellenic Veterinary Medical Society;17922720;172
Korean Chemical Engineering Research;0304128X, 22339558;172
Malaysian Forester;3022935;172
Mathematical Population Studies;08898480, 1547724X;172
Mechanisms and Machine Science;22110984, 22110992;172
NeoReviews;15269906;172
Neurophysiology;15739007, 00902977;172
Ocean Development and International Law;00908320, 15210642;172
OnLine Journal of Biological Sciences;16084217;172
Pakistan Journal of Nutrition;16805194;172
Perspectives on Federalism;20365438;172
Proceedings - 2016 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery, CyberC 2016;-;172
Proceedings - 2016 International Conference on Optoelectronics and Image Processing, ICOIP 2016;-;172
Proceedings - 2016 International Symposium on Educational Technology, ISET 2016;-;172
Proceedings of CHIuXiD 2016, the 2nd International Human Computer Interaction and User Experience Conference in Indonesia: Bridging the Gaps in the HCI and UX World;-;172
Proceedings of the 2016 IEEE 11th Conference on Industrial Electronics and Applications, ICIEA 2016;-;172
Proceedings of the Asian Test Symposium;10817735;172
Proceedings of the Conference on the Industrial and Commercial Use of Energy, ICUE;2166059X;172
Psychology, Society and Education;1989709X, 21712085;172
Religion and Education;15507394, 19498381;172
Representations;07346018, 1533855X;172
Revista Cubana de Informacion en Ciencias de la Salud;23072113;172
Revista de Gestao Social e Ambiental;1981982X;172
Revista de Indias;00348341, 19883188;172
Scalable Computing;18951767;172
Scottish Journal of Theology;00369306, 14753065;172
Transactions on Maritime Science;18483305, 18483313;172
Turk Geriatri Dergisi;13042947;172
1st International Conference on Emerging Trends in Engineering, Technology and Science, ICETETS 2016 - Proceedings;-;171
2015 International Symposium on Antennas and Propagation, ISAP 2015;-;171
2016 21st OptoElectronics and Communications Conference, OECC 2016 - Held Jointly with 2016 International Conference on Photonics in Switching, PS 2016;-;171
2016 IEEE International Frequency Control Symposium, IFCS 2016 - Proceedings;-;171
2016 Indian Control Conference, ICC 2016 - Proceedings;-;171
2016 International Conference on Industrial Informatics and Computer Systems, CIICS 2016;-;171
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;15415;171
Acta medica academica;18402879, 18401848;171
Africa Review;09744061, 09744053;171
Analisi;23405236;171
Biblical Interpretation;09272569, 15685152;171
Cinta de Moebio;0717554X;171
Clinical Case Reports;20500904;171
CLOSER 2016 - Proceedings of the 6th International Conference on Cloud Computing and Services Science;-;171
Cor et Vasa;00108650, 18037712;171
CSEDU 2016 - Proceedings of the 8th International Conference on Computer Supported Education;-;171
Current History;113530;171
Discontinuity, Nonlinearity, and Complexity;21646376, 21646414;171
Early Science and Medicine;13837427, 15733823;171
Educational Theory;132004;171
European Journal of Gynaecological Oncology;3922936;171
Foods and Raw Materials;23084057, 23109599;171
Indian Journal of Gender Studies;09715215, 09730672;171
Indian Journal of Nuclear Medicine;09740244, 09723919;171
International Journal of Engineering Systems Modelling and Simulation;17559766, 17559758;171
International Journal of Organization Theory and Behavior;10934537;171
International Journal of Quality Engineering and Technology;17572185, 17572177;171
Journal Globalization, Competitiveness and Governability;19887116;171
Journal of American Ethnic History;2785927;171
Journal of Bamboo and Rattan;15691586, 15691594;171
Journal of Computer Science;15493636;171
Journal of Mazandaran University of Medical Sciences;17359260, 17359279;171
